,title,year,rating,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1,$,1971,6.4,,0,0,1,1,0,0,0
2,$1000 a Touchdown,1939,6,,0,0,1,0,0,0,0
3,$21 a Day Once a Month,1941,8.2,,0,1,0,0,0,0,1
4,"$40,000 ",1996,8.2,,0,0,1,0,0,0,0
5,"$50,000 Climax Show, The",1975,3.4,,0,0,0,0,0,0,0
6,$pent,2000,4.3,,0,0,0,1,0,0,0
7,$windle,2002,5.3,R,1,0,0,1,0,0,0
8,'15',2002,6.7,,0,0,0,0,1,0,1
9,'38,1987,6.6,,0,0,0,1,0,0,0
10,'49-'17,1917,6,,0,0,0,0,0,0,0
11,'68,1988,5.4,,0,0,0,1,0,0,0
12,'94 du bi dao zhi qing,1994,5.9,,0,0,0,0,0,0,0
13,"'?' Motorist, The",1906,7,,0,0,1,0,0,0,1
14,'A',1965,6.7,,0,0,0,0,0,0,1
15,'A' gai waak,1983,7.1,PG-13,1,0,1,0,0,0,0
16,'A' gai waak juk jaap,1987,7.2,PG-13,1,0,1,0,0,0,0
17,'Breaker' Morant,1980,7.9,,0,0,0,1,0,0,0
18,'Bullitt': Steve McQueen's Commitment to Reality,1968,6.6,,0,0,0,0,1,0,1
19,'Crocodile' Dundee II,1988,5,,1,0,1,0,0,0,0
20,'E',1981,8.6,,0,1,1,0,0,0,1
21,'El Chicko' - der Verdacht,1995,3.9,,0,0,1,0,0,0,0
22,'G' Men,1935,7.2,,0,0,0,1,0,0,0
23,'Gator Bait,1974,3.5,,1,0,0,1,0,0,0
24,'Gator Bait II: Cajun Justice,1988,3.1,,0,0,0,0,0,0,0
25,"'High Sign', The",1921,7.8,,0,0,1,0,0,0,1
26,'Hukkunud Alpinisti' hotell,1979,7.7,,0,0,0,0,0,0,0
27,"'Hyp-Nut-Tist', The",1935,6.2,,0,1,1,0,0,0,1
28,'I Do...',1989,6.2,,0,0,0,0,0,0,0
29,'I Know Where I'm Going!',1945,7.7,,0,0,0,1,0,1,0
30,'Java Madness' formerly titled 'Coffee Madness',1995,6.8,,0,0,1,0,0,0,1
31,"'Je vous salue, Marie'",1985,6.4,,0,0,0,1,0,0,0
32,'Kaash',1987,5.9,,0,0,0,1,0,0,0
33,'M' Word,1996,4.6,,0,0,1,0,0,1,0
34,"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,7.3,,0,0,0,0,0,0,1
35,'Manos' the Hands of Fate,1966,1.6,,0,0,0,0,0,0,0
36,'Merci la vie',1991,7.2,,0,0,0,1,0,0,0
37,'Neath Brooklyn Bridge,1942,6.1,,0,0,1,1,0,0,0
38,'Neath Canadian Skies,1946,5.4,,0,0,0,0,0,0,1
39,'Neath the Arizona Skies,1934,4.6,,0,0,0,0,0,0,0
40,"'Night, Mother",1986,6.8,,0,0,0,1,0,0,0
41,'O re,1989,3.9,,0,0,1,0,0,0,0
42,'Pimpernel' Smith,1941,7.2,,0,0,0,1,0,0,0
43,'R Xmas,2001,4.9,R,0,0,0,1,0,0,0
44,'Round Midnight,1986,7.3,,0,0,0,1,0,0,0
45,"'Sheba, Baby'",1975,5.5,,1,0,0,1,0,0,0
46,"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,5.3,,0,0,0,0,0,0,1
47,"'Teddy' Bears, The",1907,5.8,,0,1,0,0,0,0,1
48,'Til There Was You,1997,4.8,PG-13,0,0,1,0,0,1,0
49,'Til We Meet Again,1940,6.3,,0,0,0,1,0,1,0
50,'What's Your 'I.Q.'?' Number Two,1940,5.9,,0,0,0,0,1,0,1
51,"'burbs, The",1989,6,,0,0,1,0,0,0,0
52,(A)Torzija,2002,7.2,,0,0,0,1,0,0,1
53,(Entre nous),2002,4.8,,0,0,0,1,0,0,0
54,(Haru),1996,6.6,,0,0,0,1,0,1,0
55,(Paris: XY),2001,1.4,,0,0,0,1,0,0,0
56,(T)Raumschiff Surprise - Periode 1,2004,5.6,,0,0,1,0,0,0,0
57,*Corpus Callosum,2002,4.9,,0,0,0,1,0,0,0
58,*batteries not included,1987,5.7,,0,0,1,0,0,0,0
59,0,1987,9.4,,0,1,1,0,0,0,1
60,-30-,1959,6.3,,0,0,0,1,0,0,0
61,#NAME?,1932,5.8,,0,0,1,0,0,0,0
62,...4 ...3 ...2 ...1 ...morte,1967,3.6,,0,0,0,0,0,0,0
63,...All the Marbles,1981,5.6,,1,0,1,1,0,1,0
64,...Almost,1990,5.3,,0,0,0,1,0,1,0
65,...And Justice for All,1979,7,,0,0,0,1,0,0,0
66,...And Millions Die!,1973,4.4,,0,0,0,0,0,0,0
67,...Because She Disobeyed,1935,6,,0,0,1,1,0,0,0
68,"...Belpaese, Il",1977,5.2,,0,0,1,1,0,0,0
69,...Comme elle respire,1998,6.1,,0,0,1,0,0,0,0
70,...Is It the Design on the Wrapper?,1997,2.6,,0,0,0,0,0,0,1
71,...Ja teeb trikke,1978,7.9,,0,1,1,0,0,0,1
72,...Lost,2000,6.2,,0,0,0,0,0,0,1
73,...Maybe This Time,1980,5.7,,0,0,0,1,0,0,0
74,...Po prozvishchu 'Zver',1990,4.7,,1,0,0,0,0,0,0
75,...Quando Troveja,1999,4.6,,0,0,0,1,0,0,0
76,...To Skin a Cat,2004,8.1,,0,0,1,0,0,0,1
77,...a tutte le auto della polizia,1975,6.8,,0,0,0,0,0,0,0
78,...a zase ta Lucie!,1984,5.8,,0,0,1,0,0,0,0
79,"...al fin, el mar",2005,5,,0,0,0,1,0,1,0
80,...ani smrt nebere,1996,3.6,,0,0,0,0,0,0,0
81,"...borgnes sont rois, Les",1974,8.3,,0,0,0,0,0,0,1
82,"...dopo di che, uccide il maschio e lo divora",1971,6.1,,0,0,0,1,0,0,0
83,...e per tetto un cielo di stelle,1968,3.9,,0,0,0,0,0,0,0
84,...e tanta paura,1976,5.8,,0,0,0,0,0,0,0
85,...som havets nakna vind,1968,5.3,,0,0,0,1,0,1,0
86,...tick...tick...tick...,1970,6,,1,0,0,1,0,0,0
87,...und abends in die Scala,1958,5.7,,0,0,0,0,0,0,0
88,...und das ist erst der Anfang,2000,5.9,,0,0,1,0,0,1,0
89,...und die Liebe lacht dazu,1957,6.8,,0,0,0,0,0,0,0
90,...ya no puede caminar.,2001,7.1,,0,0,0,0,0,0,1
91,.com for Murder,2002,3.7,,0,0,0,0,0,0,0
92,00 Schneider - Jagd auf Nihil Baxter,1994,5.9,,0,0,1,0,0,0,0
93,002 agenti segretissimi,1964,3.6,,1,0,1,0,0,0,0
94,002 operazione Luna,1965,4.7,,0,0,1,0,0,0,0
95,6,1994,6.4,,0,0,0,1,0,1,0
