user_id,user_location,user_name,followers_count,statuses_count,user_time_zone,verified,lang,screen_name,created_at,favourites_count,friends_count,listed_count
100345056,still ⬆️Block⤵️Corner⬇️street,#Ezekiel2517✨...,1053,31858,,FALSE,en,SCOTTGOHARD,Tue Dec 29 23:15:22 +0000 2009,2774,1055,35
247165706,"Chicago, IL",B E C K S T E R✨,650,6742,Mountain Time (US & Canada),FALSE,en,Beckster319,Fri Feb 04 06:38:45 +0000 2011,7273,896,30
249538861,,Chris Osborne,44,843,,FALSE,en,skatewake1994,Wed Feb 09 07:38:44 +0000 2011,227,154,1
449689677,,Рамзан Кадыров,94773,10877,Moscow,FALSE,ru,KadirovRussia,Thu Dec 29 11:31:09 +0000 2011,0,7,691
471868887,"Санкт-Петербург, Россия",Маргарита Саваж,23305,18401,Volgograd,FALSE,ru,MargoSavazh,Mon Jan 23 10:26:25 +0000 2012,1480,8021,231
1039581360,Amerika,Dark Nally,22,22603,Jakarta,FALSE,id,darknally,Thu Dec 27 13:06:58 +0000 2012,0,40,16
1510488662,USA,Laila Heats,3080,2228,Eastern Time (US & Canada),FALSE,en,lagonehoe,Wed Jun 12 13:07:49 +0000 2013,3504,2369,12
1513801268,USA,CC Jack,2760,2100,Eastern Time (US & Canada),FALSE,en,YouJustCtrlC,Thu Jun 13 16:07:23 +0000 2013,2744,2700,10
1517678892,"Philadelphia, PA",Mr Moran,879,2044,Eastern Time (US & Canada),FALSE,en,MrMoraan,Fri Jun 14 21:58:48 +0000 2013,2981,758,15
1518857420,USA,Jonathon Norwood,789,2002,Eastern Time (US & Canada),FALSE,en,NoJonathonNo,Sat Jun 15 08:47:02 +0000 2013,2170,440,8
1532863891,ATL,Harper H21,1956,3300,Eastern Time (US & Canada),FALSE,en,CharlesJHarper,Thu Jun 20 04:49:04 +0000 2013,1850,1626,21
1533813962,USA,Lara Pretty,1795,3342,Eastern Time (US & Canada),FALSE,en,PrettyLaraPlace,Thu Jun 20 12:35:59 +0000 2013,3555,1360,24
1584279696,"Chicago, IL",Jasiah Jenkins,728,1918,Eastern Time (US & Canada),FALSE,en,BigBoyJasiah,Wed Jul 10 23:55:16 +0000 2013,2342,393,19
1594887416,USA,Jeremy Roberts,837,1573,Eastern Time (US & Canada),FALSE,en,Jery_RobertsYo,Mon Jul 15 03:34:50 +0000 2013,1836,898,5
